,200DayMovingAverage,50DayMovingAverage,52WeekHigh,52WeekLow,Address,AnalystTargetPrice,AssetType,Beta,BookValue,CIK,Country,Currency,Description,DilutedEPSTTM,DividendDate,DividendPerShare,DividendYield,EBITDA,EPS,EVToEBITDA,EVToRevenue,ExDividendDate,Exchange,FiscalYearEnd,ForwardPE,GrossProfitTTM,Industry,Information,LatestQuarter,MarketCapitalization,Name,Note,OperatingMarginTTM,PEGRatio,PERatio,PriceToBookRatio,PriceToSalesRatioTTM,ProfitMargin,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenuePerShareTTM,RevenueTTM,Sector,SharesOutstanding,Symbol,TrailingPE
68,230.32,210.2,270.64,200.47,"ONE AMGEN CENTER DRIVE, THOUSAND OAKS, CA, US",244.62,Common Stock,0.608,14.54,318154,USA,USD,"Amgen Inc. (formerly Applied Molecular Genetics Inc.) is an American multinational biopharmaceutical company headquartered in Thousand Oaks, California. Focused on molecular biology and biochemistry, its goal is to provide a healthcare business based on recombinant DNA technology.",9.7,2021-12-08,6.88,0.0325,12133000000,9.7,13.02,5.58,2021-11-15,NASDAQ,December,11.78,19265000000,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",,2021-09-30,119068795000,Amgen Inc,,0.344,1.599,21.79,14.5,4.621,0.218,-0.035,0.044,0.0856,0.585,44.89,25767000000,LIFE SCIENCES,563266000,AMGN,21.79
69,185.71,178.91,206.44,135.73,"170/175 LAKEVIEW DRIVE, AIRSIDE BUSINESS PARK, SWORDS,, CO. DUBLIN, IE",201.53,Common Stock,1.241,27.26,1466258,USA,USD,"Trane Technologies plc is an American Irish domiciled diversified industrial manufacturing company. It is headquartered near Dublin, Ireland.",5.56,2021-12-31,2.3,0.0122,2234100000,5.56,20.84,3.413,2021-12-02,NYSE,December,26.95,3827500000,AUTO CONTROLS FOR REGULATING RESIDENTIAL & COMML ENVIRONMENTS,,2021-09-30,45823840000,Trane Technologies plc,,0.145,2.121,34.68,6.92,3.334,0.0982,0.017,0.064,0.0689,0.214,57.4,13746200000,LIFE SCIENCES,237540000,TT,34.68
70,84.3,85.36,96.49,56.01,"935 STEWART DRIVE, SUNNYVALE, CA, US",96.33,Common Stock,1.541,15.46,864749,USA,USD,"Trimble Inc. is a Sunnyvale, California-based hardware, software and services technology company. Trimble services global industries in Agriculture, Building & Construction, Geospatial, Natural Resources and Utilities, Governments, Transportation and others. Trimble also does hardware development of Global Navigation Satellite System (GNSS) receivers, scanners, laser rangefinders, unmanned aerial vehicles (UAVs), inertial navigation systems and software processing tools.",2.197,None,None,0,772300000,2.197,26.78,6.28,None,NASDAQ,December,28.9,1850100000,"MEASURING & CONTROLLING DEVICES, NEC",,2021-09-30,21759883000,Trimble Inc,,0.165,2.887,39.46,5.53,6.11,0.157,0.45,0.138,0.054,0.154,14.18,3562800000,LIFE SCIENCES,251008000,TRMB,39.46
71,337.46,363.27,414.99,207.84,"100 FIRST STAMFORD PLACE, 7TH FLOOR, STAMFORD, CT, US",391.47,Common Stock,1.942,75.74,1067701,USA,USD,"United Rentals, Inc. (NYSE: URI) is the world's largest equipment rental company, with about 13 percent of the North American market share as of 2019.",16.53,None,None,0,2468000000,16.53,9.58,4.131,None,NYSE,December,15.48,3232000000,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",,2021-09-30,27840715000,United Rentals Inc,,0.227,1.29,23.26,5.05,3.02,0.13,0.962,0.187,0.0685,0.249,127.38,9219000000,TRADE & SERVICES,72394000,URI,23.26
72,116.08,118.34,126.73,86.54,"50 S LASALLE ST, CHICAGO, IL, US",131.03,Common Stock,1.174,53.04,73124,USA,USD,"Northern Trust Corporation is a financial services company headquartered in Chicago, Illinois that caters to corporations, institutional investors, and ultra high net worth individuals.",6.34,2022-01-01,2.8,0.0225,None,6.34,-,-,2021-12-09,NASDAQ,December,16.84,5975800000,STATE COMMERCIAL BANKS,,2021-09-30,25819009000,Northern Trust Corporation,,0.301,1.186,19.61,2.349,4.039,0.216,0.364,0.109,0.0086,0.117,30.7,6391900000,FINANCE,207661000,NTRS,19.61
73,155.69,157.19,163.16,126.63,"385 WASHINGTON ST, SAINT PAUL, MN, US",164,Common Stock,0.765,115.75,86312,USA,USD,"The Travelers Companies, Inc., commonly known as Travelers, is an American insurance company.",14.28,2021-12-31,3.46,0.0219,5633000000,14.28,-,1.325,2021-12-09,NYSE,December,12.82,8085000000,"FIRE, MARINE & CASUALTY INSURANCE",,2021-09-30,38844817000,The Travelers Companies Inc,,0.139,1.134,11.06,1.379,1.136,0.106,-0.189,0.064,0.0251,0.129,136.29,34201999000,FINANCE,246009000,TRV,11.06
74,221.6,209.3,254.57,168.17,"WHIRLPOOL CNTR 2000 M 63, C/O CORPORATE SECRETARY, BENTON HARBOR, MI, US",255.67,Common Stock,1.768,81.38,106640,USA,USD,"The Whirlpool Corporation is an American multinational manufacturer and marketer of home appliances, headquartered in Benton Charter Township, Michigan, United States.",31.35,2021-12-15,5.3,0.0236,3153000000,31.35,5.22,0.768,2021-11-18,NYSE,December,10.98,3850000000,HOUSEHOLD APPLIANCES,,2021-09-30,14102726000,Whirlpool Corporation,,0.119,1.649,7.41,2.753,0.642,0.0906,0.213,0.037,0.0804,0.428,349.95,21967999000,MANUFACTURING,60743000,WHR,7.41
75,247.09,244.33,264.69,223.11,"1 BECTON DRIVE, FRANKLIN LAKES, NJ, UNITED STATES",269.64,Common Stock,0.711,82.79,10795,USA,USD,"Becton, Dickinson and Company, also known as BD, is an American multinational medical technology company that manufactures and sells medical devices, instrument systems, and reagents. BD also provides consulting and analytics services in certain geographies.",6.85,2021-12-31,3.32,0.0136,5412000000,6.85,17.19,4.231,2021-12-09,NYSE,September,18.9,9483000000,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,,2021-09-30,69844607000,Becton Dickinson and Company,,0.155,1.736,35.5,2.972,3.45,0.103,1.408,0.073,0.0364,0.0882,69.99,20248001000,LIFE SCIENCES,287190000,BDX,35.5
76,55.87,52.43,61.27,42.83,"6400 POPLAR AVENUE, MEMPHIS, TN, US",57.36,Common Stock,0.96,24.85,51434,USA,USD,"The International Paper Company (NYSE: IP) is an American pulp and paper company, the largest such company in the world. The company is headquartered in Memphis, Tennessee.",4.541,2021-12-15,2.05,0.0413,3216000000,4.541,7.76,1.283,2021-11-12,NYSE,December,10.08,6207000000,PAPER MILLS,,2021-09-30,19343788000,International Paper Company,,0.0902,1.39,11.0,2.018,0.882,0.082,3.239,0.115,0.0403,0.215,56.01,21931999000,MANUFACTURING,387263000,IP,11.0
77,119.84,121.95,129.54,93.8,"1 WEST FIRST AVENUE, CONSHOHOCKEN, PA, UNITED STATES",144.08,Common Stock,0.485,2.811,1140859,USA,USD,AmerisourceBergen Corporation is an American drug wholesale company that was formed by the merger of Bergen Brunswig and AmeriSource in 2001.,7.39,2021-11-29,1.76,0.0141,3348977000,7.39,10.43,0.141,2021-11-12,NYSE,September,11.92,6943228000,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",,2021-09-30,26044023000,AmerisourceBergen Corporation,,0.0133,1.543,16.96,44.69,0.122,0.0072,-0.007,0.196,0.035,-99999.99,1039.19,213988835000,TRADE & SERVICES,207787000,ABC,16.96
78,39.12,36.89,43.84,30.03,"ONE PPG PLACE, PITTSBURGH, PA, US",40.69,Common Stock,1.056,40.82,1637459,USA,USD,"The Kraft Heinz Company (KHC), commonly known as Kraft Heinz, is an American food company formed by the merger of Kraft Foods and Heinz, co-headquartered in Chicago, Illinois, and Pittsburgh, Pennsylvania.",1.858,2021-12-17,1.6,0.0429,6705000000,1.858,10.85,2.565,2021-11-24,NASDAQ,December,14.29,9171000000,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES",,2021-09-30,45604180000,The Kraft Heinz Company,,0.22,3.098,20.03,0.912,1.736,0.0876,0.209,-0.018,0.0374,0.0465,21.45,26272000000,MANUFACTURING,1225260000,KHC,20.03
79,35.83,38.3,41.85,25.88,"1211 AVENUE OF THE AMERICAS, NEW YORK, NY, US",51.5,Common Stock,1.106,20.03,1754301,USA,USD,Fox Corporation is an American mass media company headquartered in New York City.,2.958,2021-09-29,0.47,0.0123,2985000000,2.958,8.32,1.947,2021-08-31,NASDAQ,June,13.51,4872000000,TELEVISION BROADCASTING STATIONS,,2021-09-30,22678475000,Fox Corporation,,0.2,15.17,12.9,1.905,1.713,0.132,-0.339,0.121,0.0726,0.157,22.67,13237000000,TECHNOLOGY,249240000,FOX,12.9
